class_label,n_group1,n_group2,mean_group1,mean_group2,MannU_p_value,log2FC,KS_p_value,MannU_p_value_corrected,KS_p_value_corrected
BDCA2pCD103p_DCs,6,23,0.0002446604909141633,0.00672274779848081,0.11721962815193482,4.7801979771672265,0.021359100669445494,0.16327019635448065,0.0438423645320197
Bcell,6,23,0.015792355940126523,0.1173081411060397,0.012287294928052757,2.8930048219617555,0.007898614795166521,0.03422889301386125,0.023695844385499563
CD14+CD163+MERTK+_macrophages,6,23,0.009686324502553237,0.22151644550450772,0.0012546840133047029,4.515320663391751,0.00035366931918656057,0.011447986401025595,0.0027586206896551726
CD14+CD163+_macrophages,6,23,0.29976338719244916,0.6373553409264613,0.21183108079659804,1.0882737492738745,0.11069007620731758,0.2664971661634621,0.15988566563279205
CD14+MERTK+_macrophages,6,23,0.00955697412850826,0.5695509279432869,0.0028045362940594502,5.897127126870178,0.00035366931918656057,0.01215299060759095,0.0027586206896551726
CD14+_macrophages,6,23,0.1915160393496944,1.3905632429448502,0.0016336154267188748,2.860132232941645,0.0013641530882910198,0.011447986401025595,0.005911330049261085
CD16+_macrophages,6,23,0.10252789388312711,0.20115225775069806,0.5812007915456191,0.9722714662146847,0.6786451096795925,0.5964955492178723,0.6965041915132659
CD3+_Tcell,6,23,0.43295330079600375,1.0653413317652514,0.070611763715212,1.2990324126352621,0.08007662835249041,0.10591764557281799,0.12011494252873561
CD4+CD8+_Tcell,6,23,0.013282483003900303,0.1540972798408499,0.0051829396656982865,3.536244623436396,0.005393457117595048,0.01837587699656665,0.017528735632183906
CD4+Foxp3+_Tcell,6,23,0.007887514364514035,0.0788686885066091,0.012287294928052757,3.321810019952508,0.010997431687086858,0.03422889301386125,0.026806239737274216
CD4+ICOS+PD1+_Tcell,6,23,0.008730279428316636,0.2677351247294811,0.0016336154267188748,4.938634780694771,0.0023998989516230895,0.011447986401025595,0.00935960591133005
CD4+ICOS+_Tcell,6,23,0.036863605853602356,0.19790913631629364,0.022479053513536275,2.4245691130161187,0.032032335480611344,0.04614121510673235,0.05431569929321054
CD4+PD1+_Tcell,6,23,0.012014593275408722,0.15205746443687856,0.016570814373789624,3.6617569238944654,0.010997431687086858,0.04308411737185302,0.026806239737274216
CD4+_Tcell,6,23,0.09405757471111005,0.5391292545331398,0.02211395114227404,2.519015158341476,0.010997431687086858,0.04614121510673235,0.026806239737274216
CD4+_intraepithelial_Tcell,6,23,0.0017596505509927687,0.026095797922796257,0.02180315243928016,3.890456657845565,0.021359100669445494,0.04614121510673235,0.0438423645320197
