class_label,n_group1,n_group2,mean_group1,mean_group2,MannU_p_value,log2FC,KS_p_value,MannU_p_value_corrected,KS_p_value_corrected
BDCA2pCD103p_DCs,6,25,0.0002446604909141633,0.003925294679797721,0.4787792573662736,4.003947912879358,0.14591711588374545,0.5835122199151459,0.23711531331108635
Bcell,6,25,0.015792355940126523,0.06999406802114881,0.0678899876184742,2.1480062473819856,0.1230644278475202,0.1635797564607353,0.2156778753480403
CD14+CD163+MERTK+_macrophages,6,25,0.009686324502553237,0.29340782665348814,0.0010539454365928226,4.920814209564053,0.0005704343857847751,0.013701290675706693,0.011123470522803115
CD14+CD163+_macrophages,6,25,0.29976338719244916,1.2055381399066554,0.00500895717803393,2.007781204766036,0.0013092827330869602,0.04883733248583082,0.015413952010170031
CD14+MERTK+_macrophages,6,25,0.00955697412850826,0.28817666892927635,0.00045906386284584285,4.91425581488329,0.0005704343857847751,0.008951745325493936,0.011123470522803115
CD14+_macrophages,6,25,0.1915160393496944,1.1378605267666695,0.00045906386284584285,2.5707866030243394,0.001580918154889234,0.008951745325493936,0.015413952010170031
CD16+_macrophages,6,25,0.10252789388312711,0.09731599703911624,0.29061458872359874,-0.07526758146070552,0.46795449020143104,0.43592188308539814,0.5530371247835094
CD3+_Tcell,6,25,0.43295330079600375,0.5007045973770136,0.3913098395857017,0.20974828065389173,0.18560305100905772,0.4922930239949151,0.28954075957413
CD4+CD8+_Tcell,6,25,0.013282483003900303,0.05340183079046429,0.09380171013735347,2.0073643363359213,0.10946907498631636,0.17420317596937074,0.20329971068887326
CD4+Foxp3+_Tcell,6,25,0.007887514364514035,0.028686144819903094,0.03790901054429911,1.8627114622732528,0.019658255475830555,0.13795798258993633,0.07666719635573917
CD4+ICOS+PD1+_Tcell,6,25,0.008730279428316636,0.11660009774051087,0.02285092429165164,3.7393973570118533,0.005688045732539615,0.12731229248205914,0.0369722972615075
CD4+ICOS+_Tcell,6,25,0.036863605853602356,0.09135633947742429,0.9401544664419724,1.3093076484058872,0.8739258516789107,0.9648953734536033,0.8739258516789107
CD4+PD1+_Tcell,6,25,0.012014593275408722,0.06298747577501274,0.08440212065490996,2.3902771859427143,0.09322527676254042,0.16458413527707444,0.19135714703889875
CD4+_Tcell,6,25,0.09405757471111005,0.16358710728203363,0.3051680942361542,0.7984430126003244,0.24567522454063057,0.44079835834111164,0.3548642132253553
CD4+_intraepithelial_Tcell,6,25,0.0017596505509927687,0.004537583879665617,1.0,1.3666353598489587,0.8739258516789107,1.0,0.8739258516789107
CD8+Foxp3+_Tcell,6,25,0.00199345153101454,0.0186443858179636,0.03779280101187574,3.225400839697742,0.005688045732539615,0.13795798258993633,0.0369722972615075
